Biomark Device Manager Version 1.2.19
Export All Records To File
Export Date/Time: 3/22/2024 3:34:32 PM

Scan Date   Scan Time     Download Date  Download Time  Reader ID  Antenna ID  HEX Tag ID      DEC Tag ID        Temperature,C  Signal,mV  Is Duplicate  Latitude  Longitude  File Name  
----------  ------------  -------------  -------------  ---------  ----------  --------------  ----------------  -------------  ---------  ------------  --------  ---------  ---------  
01/01/2016  00:00:01.160  03/22/2024     15:31:31       01         01          3E7.0000001D01  999.000000007425                                                                          
01/01/2016  00:00:01.170  03/22/2024     15:31:31       01         01          3E7.0000001D01  999.000000007425                            Yes                                           
10/23/2023  15:35:43.760  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                                                                          
10/23/2023  15:35:43.830  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:43.900  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:43.970  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:44.030  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:44.160  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:44.190  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:44.220  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:44.250  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:44.280  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:48.380  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:48.440  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:48.510  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:48.560  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:48.630  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:48.690  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:48.760  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
