"date","state","source","section","swab_id","swab_type","species","temp","sex","mass","fa","id","band_size","recap","rc","age","age_confidence","wing_score","wing_score2","site"
"11/5/19","WI","KEL","","KL19WI1315","BAT","MYLU",7.3,"M",NA,NA,"P_989.001004592811",2.9,"N","","",NA,NA,NA,"MAOC"
"11/5/19","WI","KEL","","KL19WI1318","BAT","MYLU",7.3,"M",NA,NA,"P_989.001004592742",2.9,"N","","J",0,NA,NA,"MAOC"
"11/5/19","WI","KEL","","KL19WI1319","BAT","MYLU",7.6,"M",NA,NA,"P_989.001004592846",2.9,"N","","A",0,NA,NA,"MAOC"
"11/5/19","WI","KEL","","KL19WI1322","BAT","MYLU",7.6,"M",NA,NA,"P_989.001004592826",2.9,"N","","J",0,NA,NA,"MAOC"
"11/5/19","WI","KEL","","KL19WI1323","BAT","MYLU",7.3,"M",NA,NA,"P_989.001004592792",2.9,"N","","J",0,NA,NA,"MAOC"
"11/5/19","WI","KEL","","KL19WI1324","BAT","MYLU",7.8,"F",NA,NA,"P_989.001004592757",2.9,"N","","A",0,NA,NA,"MAOC"
"11/5/19","WI","KEL","","KL19WI1327","BAT","MYLU",7.7,"M",NA,NA,"P_989.001004592849",2.9,"N","","A",0,NA,NA,"MAOC"
"11/5/19","WI","KEL","","KL19WI1328","BAT","MYLU",8.1,"M",NA,NA,"P_989.001004592764",2.9,"N","","J",0,NA,NA,"MAOC"
"11/5/19","WI","KEL","","KL19WI1331","BAT","MYLU",8.3,"M",NA,NA,"P_989.001004592824",2.9,"N","","J",0,NA,NA,"MAOC"
"11/5/19","WI","KEL","","KL19WI1334","BAT","MYLU",8.3,"F",NA,NA,"P_989.001004592810",2.9,"N","","A",0,NA,NA,"MAOC"
"11/5/19","WI","KEL","","KL19WI1337","BAT","MYLU",7.5,"M",NA,NA,"P_989.001004592844",2.9,"N","","J",0,NA,NA,"MAOC"
"11/5/19","WI","KEL","","KL19WI1338","BAT","MYLU",7.5,"F",NA,NA,"P_989.001004592775",2.9,"N","","A",0,NA,NA,"MAOC"
"11/5/19","WI","KEL","","KL19WI1339","BAT","MYLU",7.8,"M",NA,NA,"P_989.001004592845",2.9,"N","","J",0,NA,NA,"MAOC"
"11/5/19","WI","KEL","","KL19WI1342","BAT","MYLU",7.8,"M",NA,NA,"P_989.001004592804",2.9,"N","","J",0,NA,NA,"MAOC"
"11/5/19","WI","KEL","","KL19WI1345","BAT","PESU",7.5,"F",NA,NA,"P_989.001004592784",2.4,"N","","A",0,NA,NA,"MAOC"
"11/5/19","WI","KEL","","KL19WI1346","BAT","PESU",7.6,"M",NA,NA,"P_989.001004592840",2.4,"N","","J",0,NA,NA,"MAOC"
"11/5/19","WI","KEL","","KL19WI1349","BAT","PESU",7.4,"F",NA,NA,"P_989.001004592799",2.4,"N","","A",0,NA,NA,"MAOC"
"11/5/19","WI","KEL","","KL19WI1350","BAT","MYLU",7.3,"M",NA,NA,"P_989.001004592820",2.9,"N","","J",0,NA,NA,"MAOC"
"11/5/19","WI","KEL","","KL19WI1353","BAT","MYLU",7.5,"F",NA,NA,"P_989.001004592902",2.9,"N","","A",0,NA,NA,"MAOC"
"11/5/19","WI","KEL","","KL19WI1356","BAT","PESU",7.8,"M",NA,NA,"P_989.001004592744",2.4,"N","","A",0,NA,NA,"MAOC"
"11/5/19","WI","KEL","","KL19WI1357","BAT","PESU",8.1,"F",NA,NA,"P_989.001004592767",2.4,"N","","A",0,NA,NA,"MAOC"
"11/5/19","WI","KEL","","KL19WI1360","BAT","MYLU",7.9,"M",NA,NA,"P_989.001004592691",2.9,"N","","A",0,NA,NA,"MAOC"
"11/5/19","WI","KEL","","KL19WI1361","BAT","MYLU",7.8,"M",NA,NA,"P_989.001004592759",2.9,"N","","A",0,NA,NA,"MAOC"
"11/5/19","WI","KEL","","KL19WI1362","BAT","MYLU",7.7,"M",NA,NA,"P_989.001004592696",2.9,"N","","A",0,NA,NA,"MAOC"
"11/5/19","WI","KEL","","KL19WI1363","BAT","MYLU",7.7,"M",NA,NA,"P_989.001004592722",2.9,"N","","A",0,NA,NA,"MAOC"
"11/5/19","WI","KEL","","KL19WI1364","BAT","PESU",9,"M",NA,NA,"P_989.001004592789",2.4,"N","","J",0,NA,NA,"MAOC"
"11/5/19","WI","KEL","","KL19WI1365","BAT","PESU",9.1,"M",NA,NA,"P_989.001004592725",2.4,"N","","J",0,NA,NA,"MAOC"
"11/5/19","WI","KEL","","KL19WI1366","BAT","PESU",6.7,"F",NA,NA,"P_989.001004592698",2.4,"N","","A",0,NA,NA,"MAOC"
"11/5/19","WI","KEL","","KL19WI1367","BAT","PESU",7.5,"M",NA,NA,"P_989.001004592675",2.4,"N","","A",0,NA,NA,"MAOC"
"11/5/19","WI","KEL","","KL19WI1370","BAT","PESU",7.9,"",NA,NA,"P_989.001004592883",2.4,"N","","A",0,NA,NA,"MAOC"
"11/5/19","WI","KEL","","KL19WI1371","BAT","PESU",7.4,"M",NA,NA,"P_989.001004592836",2.4,"N","","A",0,NA,NA,"MAOC"
"11/5/19","WI","KEL","","KL19WI1372","BAT","PESU",7,"M",NA,NA,"P_989.001004592917",2.4,"N","","J",0,NA,NA,"MAOC"
"11/5/19","WI","KEL","","KL19WI1373","BAT","PESU",8.4,"M",NA,NA,"P_989.001004592815",2.4,"N","","A",0,NA,NA,"MAOC"
"11/5/19","WI","KEL","","KL19WI1374","BAT","PESU",7.7,"F",NA,NA,"P_989.001004592803",2.4,"N","","J",0,NA,NA,"MAOC"
"11/5/19","WI","KEL","","KL19WI1375","BAT","PESU",7.5,"M",NA,NA,"P_989.001004592779",NA,"","","J",0,NA,NA,"MAOC"
"11/5/19","WI","KEL","","KL19WI1376","BAT","PESU",8.4,"F",NA,NA,"P_989.001004592856",2.4,"N","","A",0,NA,NA,"MAOC"
"3/2/20","WI","KEL","5A","KL20WI0452","BAT","MYLU",7.5,"M",7.7,NA,"P_989.001004592742",2.9,"Y","","A",NA,NA,NA,"MAOC"
"3/2/20","WI","KEL","4A","KL20WI0473","BAT","PESU",NA,"M",NA,NA,"P_989.001004592840",2.4,"Y","","",NA,NA,NA,"MAOC"
"3/2/20","WI","KEL","4A","KL20WI0474","BAT","PESU",NA,"F",NA,NA,"P_989.001004592799",2.4,"Y","","",NA,NA,NA,"MAOC"
"3/2/20","WI","KEL","4","KL20WI0514","BAT","MYLU",7.1,"M",NA,NA,"P_989.001004592764",2.9,"Y","","",NA,NA,NA,"MAOC"
"3/2/20","WI","KEL","4","KL20WI0515","BAT","MYLU",7.5,"F",NA,NA,"P_989.001004592757",2.9,"Y","","",NA,NA,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1010","BAT","MYLU",NA,"M",7.45,38.36,"P_989.001034203139",2.9,"N","NR","J",1,0,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1011","BAT","MYLU",NA,"F",7.69,37.01,"P_989.001034203120",2.9,"N","NR","J",1,0,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1012","BAT","MYLU",NA,"M",7.21,37.3,"P_989.001034203188",2.9,"N","NR","A",1,1,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1013","BAT","MYLU",NA,"F",7,38.36,"P_989.001034203121",2.9,"N","NR","J",1,0,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1014","BAT","MYLU",NA,"F",7.45,39.16,"P_989.001034203106",2.9,"N","NR","J",1,0,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1015","BAT","MYLU",NA,"M",7.13,37.81,"P_989.001034203151",NA,"","R","J",0,0,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1016","BAT","MYLU",NA,"M",7.18,40.18,"P_989.001034203183",2.9,"N","R","A",1,0,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1017","BAT","MYLU",NA,"M",6.68,36.77,"P_989.001034203184",2.9,"N","NR","J",1,1,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1018","BAT","MYLU",NA,"M",8,37.94,"P_989.001034203182",2.9,"N","R","J",0,1,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1019","BAT","MYLU",NA,"F",7.44,39.2,"P_989.001034203142",2.9,"N","NR","J",1,1,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1020","BAT","MYLU",NA,"M",6.87,38.29,"P_989.001034203116",2.9,"N","R","J",1,1,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1021","BAT","MYLU",NA,"M",6.65,36.91,"P_989.001034203186",2.9,"N","NR","J",1,0,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1022","BAT","MYLU",NA,"M",7.57,38.7,"P_989.001034203156",2.9,"N","NR","J",1,0,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1023","BAT","MYLU",NA,"M",7.37,39.13,"P_989.001034203187",2.9,"N","NR","J",1,1,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1024","BAT","MYLU",NA,"M",8.24,38.78,"P_989.001034203137",2.9,"N","R","A",1,1,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1025","BAT","MYLU",NA,"M",10.31,37,"P_989.001034203170",2.9,"N","R","A",1,0,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1026","BAT","MYLU",NA,"F",6.64,38.25,"P_989.001034203185",2.9,"N","NR","J",1,1,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1027","BAT","MYLU",NA,"M",6.35,38.54,"P_989.001034203205",2.9,"N","NR","J",1,0,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1028","BAT","MYLU",NA,"M",8.51,37.12,"P_989.001034203181",2.9,"N","R","A",1,1,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1029","BAT","MYLU",NA,"F",7.23,38.12,"P_989.001034203141",2.9,"N","NR","J",1,1,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1030","BAT","MYLU",NA,"F",7.32,37.4,"P_989.001034203107",2.9,"N","NR","J",1,0,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1031","BAT","MYLU",NA,"M",7,38.35,"P_989.001034203135",2.9,"N","NR","J",1,0,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1032","BAT","MYLU",NA,"F",6.3,38.55,"P_989.001034203114",2.9,"N","NR","J",0,1,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1033","BAT","MYLU",NA,"F",8.2,40.05,"P_989.001034203150",2.9,"N","NR","J",1,1,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1034","BAT","MYLU",NA,"M",12.29,38.1,"P_989.001034203109",2.9,"N","R","A",1,0,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1035","BAT","MYLU",NA,"M",6.95,38.17,"P_989.001034203154",2.9,"N","NR","J",1,1,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1036","BAT","MYLU",NA,"F",7.16,37.9,"P_989.001034203138",2.9,"N","NR","J",0,1,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1037","BAT","MYLU",NA,"F",7.31,39.16,"P_989.001034203146",2.9,"N","R","A",0,1,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1038","BAT","MYLU",NA,"M",6.75,39.7,"P_989.001034203197",2.9,"N","NR","J",1,0,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1039","BAT","MYLU",NA,"M",7.42,37.11,"P_989.001034203123",2.9,"N","NR","J",1,1,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1040","BAT","MYLU",NA,"F",7.29,37.66,"P_989.001034203118",2.9,"N","NR","J",1,0,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1041","BAT","MYLU",NA,"M",8.23,39.2,"P_989.001034203161",2.9,"N","NR","J",1,0,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1042","BAT","MYLU",NA,"F",7.23,35.01,"P_989.001034203122",2.9,"N","NR","J",1,0,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1043","BAT","MYLU",NA,"M",10.15,38.09,"P_989.001034203140",2.9,"N","R","A",1,1,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1044","BAT","PESU",NA,"M",7.37,30.71,"P_989.001034203148",2.4,"N","R","A",1,1,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1045","BAT","MYLU",NA,"F",7.73,37.5,"P_989.001034203160",2.9,"N","NR","J",1,1,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1046","BAT","MYLU",NA,"M",9.36,37.6,"P_989.001034203115",2.9,"N","R","A",1,1,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1047","BAT","MYLU",NA,"M",12.88,38.77,"P_989.001034203167",2.9,"N","R","A",1,1,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1048","BAT","MYLU",NA,"M",7.29,38.19,"P_989.001034203152",2.9,"N","NR","J",1,1,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1049","BAT","MYLU",NA,"M",11.21,38.44,"P_989.001034203166",2.9,"N","NR","A",1,1,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1050","BAT","MYLU",NA,"M",12.95,39.63,"P_989.001034203177",2.9,"N","R","A",1,0,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1074","BAT","MYLU",NA,"F",6.97,37.59,"P_989.001034203130",2.9,"N","NR","J",1,0,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1075","BAT","MYLU",NA,"M",6.9,37.81,"P_989.001034203164",2.9,"N","NR","J",1,1,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1076","BAT","MYLU",NA,"M",7.84,38.67,"P_989.001034203191",2.9,"N","NR","J",1,0,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1078","BAT","MYLU",NA,"F",8.07,39.6,"P_989.001034203169",2.9,"N","NR","J",1,1,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1079","BAT","MYLU",NA,"F",7.83,39.1,"P_989.001034203201",2.9,"N","NR","J",1,1,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1080","BAT","MYLU",NA,"F",7.68,38.98,"P_989.001034203196",2.9,"N","NR","J",1,1,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1081","BAT","MYLU",NA,"F",8.04,38.6,"P_989.001034203200",2.9,"N","NR","J",1,1,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1082","BAT","MYLU",NA,"F",7.1,37.43,"P_989.001034203199",2.9,"N","NR","J",1,0,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1083","BAT","MYLU",NA,"M",7.2,37.45,"P_989.001034203171",2.9,"N","NR","J",1,1,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1084","BAT","MYLU",NA,"M",7.55,37.6,"P_989.001034203143",2.9,"N","NR","J",0,0,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1086","BAT","MYLU",NA,"M",7.88,39.58,"P_989.001034203204",2.9,"N","NR","A",0,0,NA,"MAOC"
